Description,Incident#,Location,Agency,Date
VEHICLE BREAK-IN/THEFT,PD190910325044,1900 BLOCK NW 60TH ST,Miami-Dade Police,9-10-2019 2:00 AM
VEHICLE BREAK-IN/THEFT,PD190910324312,3100 BLOCK NW 42ND ST,Miami-Dade Police,9-10-2019 1:00 AM
BURGLARY,PD190910324608,5300 BLOCK NW 30TH AVE,Miami-Dade Police,9-10-2019 12:39 AM
THEFT/LARCENY,PD190910324372,7100 BLOCK NW 36TH AVE,Miami-Dade Police,9-9-2019 10:00 PM
THEFT/LARCENY,PD190909324042,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-9-2019 9:40 PM
ROBBERY,PD190909324004,NW 29TH CT & NW 24TH ST,Miami-Dade Police,9-9-2019 9:03 PM
VEHICLE BREAK-IN/THEFT,PD190916332041,2900 BLOCK NW 79TH ST,Miami-Dade Police,9-9-2019 9:00 PM
THEFT/LARCENY,PD190909323958,3900 BLOCK NW 25TH ST,Miami-Dade Police,9-9-2019 7:45 PM
THEFT/LARCENY,PD190909323885,JMH MAIN,Miami-Dade Police,9-9-2019 7:14 PM
VEHICLE BREAK-IN/THEFT,PD190910324691,1500 BLOCK NW 79TH ST,Miami-Dade Police,9-9-2019 6:30 PM
MOTOR VEHICLE THEFT,PD190910324493,4500 BLOCK NW 36TH ST,Miami-Dade Police,9-9-2019 5:30 PM
THEFT/LARCENY,PD190909323809,1100 BLOCK NW 79TH ST,Miami-Dade Police,9-9-2019 4:25 PM
ASSAULT,PD190909323682,4600 BLOCK NW 23RD CT,Miami-Dade Police,9-9-2019 4:20 PM
VEHICLE BREAK-IN/THEFT,PD190909323537,NW 23RD AVE & NW 81ST ST,Miami-Dade Police,9-9-2019 1:32 PM
THEFT/LARCENY,PD190909323647,2900 BLOCK NW 44TH ST,Miami-Dade Police,9-9-2019 1:30 PM
VEHICLE BREAK-IN/THEFT,PD190909323496,3800 BLOCK NW 27TH AVE,Miami-Dade Police,9-9-2019 1:29 PM
ROBBERY,PD190909323303,1200 BLOCK NW 79TH ST,Miami-Dade Police,9-9-2019 11:06 AM
ASSAULT,PD190909323336,7200 BLOCK W FLAGLER ST,Miami-Dade Police,9-9-2019 11:00 AM
THEFT/LARCENY,PD190909323807,3500 BLOCK NW 25TH ST,Miami-Dade Police,9-9-2019 10:00 AM
VEHICLE BREAK-IN/THEFT,PD190910325027,600 BLOCK FLORIDA WAY,Miami-Dade Police,9-9-2019 9:07 AM
BURGLARY,PD190909323772,2500 BLOCK NW 61ST ST,Miami-Dade Police,9-9-2019 7:30 AM
THEFT/LARCENY,PD190912327481,3600 BLOCK NW S RIVER DR,Miami-Dade Police,9-9-2019 5:55 AM
VANDALISM,PD190909323833,500 BLOCK NW 85TH ST RD,Miami-Dade Police,9-9-2019 5:30 AM
MOTOR VEHICLE THEFT,PD190909323464,2700 BLOCK NW 54TH ST,Miami-Dade Police,9-8-2019 11:20 PM
VEHICLE BREAK-IN/THEFT,PD190909323196,1300 BLOCK SW 74TH CT,Miami-Dade Police,9-8-2019 11:00 PM
ROBBERY,PD190908322764,200 BLOCK NW 85TH ST,Miami-Dade Police,9-8-2019 9:58 PM
THEFT/LARCENY,PD190909323037,1300 BLOCK NW 77TH TER,Miami-Dade Police,9-8-2019 9:00 PM
ASSAULT,PD190908322663,3000 BLOCK NW 62ND ST,Miami-Dade Police,9-8-2019 8:13 PM
VANDALISM,PD190908322818,900 BLOCK NW 81ST ST,Miami-Dade Police,9-8-2019 8:00 PM
THEFT/LARCENY,PD190908322679,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-8-2019 7:57 PM
ASSAULT,PD190908322608,3800 BLOCK NW 21ST ST,Miami-Dade Police,9-8-2019 7:00 PM
THEFT/LARCENY,PD190909323829,1900 BLOCK NW 79ST ST,Miami-Dade Police,9-8-2019 5:00 PM
DRUGS/ALCOHOL VIOLATIONS,PD190908322434,NW 17TH AVE & NW 69TH ST,Miami-Dade Police,9-8-2019 4:25 PM
THEFT/LARCENY,PD190908322448,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-8-2019 3:00 PM
THEFT/LARCENY,PD190909323559,7200 BLOCK NW 16TH AVE,Miami-Dade Police,9-8-2019 2:00 PM
THEFT/LARCENY,PD190908322156,800 BLOCK NW 79TH ST,Miami-Dade Police,9-8-2019 10:30 AM
THEFT/LARCENY,PD190918334737,7300 BLOCK NW 72ND AVE,Miami-Dade Police,9-8-2019 9:00 AM
THEFT/LARCENY,PD190908322447,NW 27TH AVE & NW 28TH ST,Miami-Dade Police,9-8-2019 9:00 AM
BURGLARY,PD190909323719,900 BLOCK NW 75TH ST,Miami-Dade Police,9-8-2019 9:00 AM
THEFT/LARCENY,PD190908322049,NW 13TH AVE & NW 79TH ST,Miami-Dade Police,9-8-2019 7:38 AM
ROBBERY,PD190908322023,3600 BLOCK NW S RIVER DR,Miami-Dade Police,9-8-2019 6:30 AM
VEHICLE BREAK-IN/THEFT,PD190909323465,3100 BLOCK NW 54TH ST,Miami-Dade Police,9-8-2019 4:30 AM
VANDALISM,PD190908321951,3100 BLOCK NW 77TH ST,Miami-Dade Police,9-8-2019 3:47 AM
MOTOR VEHICLE THEFT,PD190908322048,200 BLOCK NW 83RD ST,Miami-Dade Police,9-8-2019 3:00 AM
VANDALISM,PD190908321952,4300 BLOCK SW 16TH ST,Miami-Dade Police,9-8-2019 2:50 AM
ROBBERY - ARMED,1909080067735,1500 BLOCK NW 71ST ST,Miami Police,9-8-2019 2:44 AM
THEFT - ALL OTHER,1909080067720,600 BLOCK NW 35TH ST,Miami Police,9-8-2019 1:41 AM
THEFT - OF MOTOR VEHICLE PARTS,1909080067710,1700 BLOCK NW 48TH ST,Miami Police,9-8-2019 12:48 AM
AUTO THEFT,1909080067706,5100 BLOCK NE 3RD CT,Miami Police,9-8-2019 12:22 AM
ASSAULT,PD190908321794,3500 BLOCK NW 79TH ST,Miami-Dade Police,9-8-2019 12:00 AM
ASSAULT,PD190908321791,NW 63RD ST & NW 18TH AVE,Miami-Dade Police,9-7-2019 11:40 PM
THEFT/LARCENY,PD190908321904,7900 BLOCK NW 18TH AVE,Miami-Dade Police,9-7-2019 11:00 PM
MOTOR VEHICLE THEFT,PD190909323334,6200 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-7-2019 11:00 PM
CRIMINAL MISCHIEF / VANDALISM,1909070067683,2200 BLOCK NW 21ST TER,Miami Police,9-7-2019 10:47 PM
ASSAULT,PD190907321664,2400 BLOCK NW 50TH ST,Miami-Dade Police,9-7-2019 10:46 PM
ASSAULT,PD190907321637,3500 BLOCK NW 41ST ST,Miami-Dade Police,9-7-2019 10:15 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067676,1900 BLOCK NW MIAMI CT,Miami Police,9-7-2019 10:07 PM
MOTOR VEHICLE THEFT,PD190911326500,3300 BLOCK NW N RIVER DR,Miami-Dade Police,9-7-2019 10:00 PM
DRUGS/ALCOHOL VIOLATIONS,PD190907321627,6800 BLOCK NW 18TH AVE,Miami-Dade Police,9-7-2019 10:00 PM
BURGLARY,PD190907321660,4900 BLOCK NW 72ND AVE,Miami-Dade Police,9-7-2019 10:00 PM
"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1909070067675,NW 10TH AV / NW 21ST ST,Miami Police,9-7-2019 9:56 PM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1909070067688,700 BLOCK SW 7TH ST,Miami Police,9-7-2019 9:45 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067684,7100 BLOCK N MIAMI AV,Miami Police,9-7-2019 9:38 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067668,SW 7TH ST / SW 35TH AV,Miami Police,9-7-2019 9:15 PM
ASSAULT,PD190907321623,3600 BLOCK NW 62ND ST,Miami-Dade Police,9-7-2019 9:10 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067662,NE 1ST ST / BISCAYNE BLVD,Miami Police,9-7-2019 8:24 PM
BATTERY / DOMESTIC,1909070067649,3700 BLOCK NW 15TH AV,Miami Police,9-7-2019 8:18 PM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1909070067658,NW 22 AVE / NW 26 ST,Miami Police,9-7-2019 8:11 PM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1909070067658,NW 22 AVE / NW 26 ST,Miami Police,9-7-2019 8:11 PM
PETIT THEFT,1909070067648,3400 BLOCK N MIAMI AV,Miami Police,9-7-2019 7:53 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067642,NW 33RD ST / N MIAMI AV,Miami Police,9-7-2019 7:36 PM
THEFT - FROM MOTOR VEHICLE,1909070067638,500 BLOCK NE 82ND ST,Miami Police,9-7-2019 7:23 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067637,1500 BLOCK NW 1ST ST,Miami Police,9-7-2019 7:15 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067637,1500 BLOCK NW 1ST ST,Miami Police,9-7-2019 7:15 PM
ASSAULT,PD190907321451,6600 BLOCK NW 26TH AVE,Miami-Dade Police,9-7-2019 7:14 PM
THEFT - ALL OTHER,1909070067635,700 BLOCK NE 64TH ST,Miami Police,9-7-2019 7:10 PM
ASSAULT,PD190907321439,8300 BLOCK NW 27TH AVE,Miami-Dade Police,9-7-2019 6:57 PM
CRIMINAL MISCHIEF / VANDALISM,1909070067630,BISCAYNE BLVD / NE 17TH TER,Miami Police,9-7-2019 6:26 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067629,6900 BLOCK BISCAYNE BLVD,Miami Police,9-7-2019 6:22 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067629,6900 BLOCK BISCAYNE BLVD,Miami Police,9-7-2019 6:22 PM
THEFT - PICK POCKET,1909070067618,0 BLOCK NE 24TH ST,Miami Police,9-7-2019 6:04 PM
MOTOR VEHICLE THEFT,PD190910325270,NW 37TH AVE & NW 39TH ST,Miami-Dade Police,9-7-2019 6:00 PM
RETAIL THEFT OVER $300,1909070067621,1600 BLOCK NW 20TH ST,Miami Police,9-7-2019 5:45 PM
PETIT THEFT,1909070067611,4700 BLOCK SW 1ST ST,Miami Police,9-7-2019 5:03 PM
THEFT/LARCENY,PD190910324430,2200 BLOCK NW 59TH ST,Miami-Dade Police,9-7-2019 5:00 PM
ASSAULT,PD190907321290,2200 BLOCK NW 51ST ST,Miami-Dade Police,9-7-2019 4:39 PM
THEFT - ALL OTHER,1909070067615,0 BLOCK NE 47TH ST,Miami Police,9-7-2019 4:35 PM
BURGLARY,PD190907321307,3100 BLOCK NW 77TH ST,Miami-Dade Police,9-7-2019 4:18 PM
BURGLARY / CURTILAGE OF DWELLING - THEFT OF $300 OR GREATER,1909070067613,7700 BLOCK NW 7TH AVE,Miami Police,9-7-2019 4:12 PM
MOTOR VEHICLE THEFT,PD190907321244,7500 BLOCK NW 37TH AVE,Miami-Dade Police,9-7-2019 3:49 PM
THEFT - FROM MOTOR VEHICLE,1909070067597,200 BLOCK NE 73RD ST,Miami Police,9-7-2019 3:22 PM
CRIMINAL MISCHIEF / VANDALISM,1909070067595,600 BLOCK NW 56TH ST,Miami Police,9-7-2019 3:15 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067592,NW 15TH AV / NW 19TH TER,Miami Police,9-7-2019 3:06 PM
CRIMINAL MISCHIEF / VANDALISM,1909070067594,5600 BLOCK BISCAYNE BLVD,Miami Police,9-7-2019 3:01 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1909070067574,3500 BLOCK SW 22ND ST,Miami Police,9-7-2019 2:48 PM
ASSAULT,PD190907321175,00 BLOCK ST NW 10 AVE,Miami-Dade Police,9-7-2019 2:45 PM
GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,1909070067579,3700 BLOCK W FLAGLER ST,Miami Police,9-7-2019 2:36 PM
PETIT THEFT - MOTOR VEH PARTS/ACCESSORIES,1909070067577,100 BLOCK NW 67TH AV,Miami Police,9-7-2019 2:11 PM
MOTOR VEHICLE THEFT,PD190907321207,8300 BLOCK NW 27TH AVE,Miami-Dade Police,9-7-2019 1:54 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909070067564,100 BLOCK NE 40TH ST,Miami Police,9-7-2019 1:20 PM
"BATTERY / AGG: VICTIM PREGNANT (GREAT BODILY INJ, WEAPON USED OR LOSS OF FETUS)",1909070067561,1500 BLOCK NW 7TH CT,Miami Police,9-7-2019 1:05 PM
DRUGS/ALCOHOL VIOLATIONS,PD190907321062,NW 27TH AVE & NW 28TH ST,Miami-Dade Police,9-7-2019 1:03 PM
THEFT - FROM MOTOR VEHICLE,1909070067565,1600 BLOCK SW 27TH AV,Miami Police,9-7-2019 12:46 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1909070067557,3000 BLOCK SW 8TH ST,Miami Police,9-7-2019 12:36 PM
PETIT THEFT - RETAIL / $100 TO LESS THAN $300,1909070067556,3400 BLOCK N MIAMI AV,Miami Police,9-7-2019 12:34 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067567,1400 BLOCK BRICKELL BAY DR,Miami Police,9-7-2019 12:13 PM
SIMPLE ASSAULT,1909070067554,1100 BLOCK BRICKELL BAY DR,Miami Police,9-7-2019 12:03 PM
BURGLARY - OTHER STRUCTURE,1909070067559,0 BLOCK SW 11TH ST,Miami Police,9-7-2019 12:01 PM
AUTO THEFT,1909070067546,2700 BLOCK NW 1ST AVE,Miami Police,9-7-2019 12:00 PM
FRAUD,PD190911325966,2500 BLOCK NW 74TH AVE,Miami-Dade Police,9-7-2019 12:00 PM
THEFT/LARCENY,PD190909323139,1100 BLOCK NW 81ST ST,Miami-Dade Police,9-7-2019 12:00 PM
BURGLARY / CURTILAGE OF DWELLING - THEFT OF $300 OR GREATER,1909070067548,1700 BLOCK NW 30TH ST,Miami Police,9-7-2019 11:57 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067538,1000 BLOCK SW 13TH ST,Miami Police,9-7-2019 11:51 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067545,4400 BLOCK W FLAGLER ST,Miami Police,9-7-2019 11:50 AM
CRIMINAL MISCHIEF / VANDALISM,1909070067539,400 BLOCK NW 59TH TER,Miami Police,9-7-2019 11:42 AM
THEFT/LARCENY,PD190909323354,5600 BLOCK NW 32ND AVE,Miami-Dade Police,9-7-2019 11:34 AM
CRIMINAL MISCHIEF / VANDALISM,1909070067536,400 BLOCK NW 59TH ST,Miami Police,9-7-2019 11:24 AM
THEFT - SHOPLIFTING,1909070067537,3400 BLOCK N MIAMI AV,Miami Police,9-7-2019 11:24 AM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909070067534,3200 BLOCK NE 1ST AV,Miami Police,9-7-2019 11:15 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067550,800 BLOCK NW 32ND PL,Miami Police,9-7-2019 11:14 AM
THEFT - ALL OTHER,1909070067549,1900 BLOCK NW SOUTH RIVER DR,Miami Police,9-7-2019 11:09 AM
MOTOR VEHICLE THEFT,PD190909323189,7300 BLOCK SW 8TH ST,Miami-Dade Police,9-7-2019 11:00 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067535,3000 BLOCK NW 11TH ST,Miami Police,9-7-2019 10:56 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067535,3000 BLOCK NW 11TH ST,Miami Police,9-7-2019 10:56 AM
BATTERY / DOMESTIC,1909070067530,900 BLOCK NW 5TH ST,Miami Police,9-7-2019 10:39 AM
ROBBERY - ARMED,1909070067527,800 BLOCK SW 8TH ST,Miami Police,9-7-2019 10:06 AM
RETAIL THEFT,1909070067526,1000 BLOCK NE 79TH ST,Miami Police,9-7-2019 10:04 AM
SIMPLE ASSAULT,1909070067522,1300 BLOCK NW 10TH AV,Miami Police,9-7-2019 9:25 AM
THEFT - ALL OTHER,1909070067519,1500 BLOCK BRICKELL AV,Miami Police,9-7-2019 9:21 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067515,1100 BLOCK NW 7TH AV,Miami Police,9-7-2019 9:00 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067518,600 BLOCK NE 74TH ST,Miami Police,9-7-2019 8:44 AM
THEFT OF BICYCLE,1909070067511,200 BLOCK SW 11TH ST,Miami Police,9-7-2019 8:37 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067513,3000 BLOCK NW 11TH ST,Miami Police,9-7-2019 8:28 AM
ASSAULT,PD190907320803,3000 BLOCK NW 62ND ST,Miami-Dade Police,9-7-2019 8:10 AM
AGGRAVATED BATTERY,1909070067507,1900 BLOCK NW 29TH ST,Miami Police,9-7-2019 8:09 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067506,2300 BLOCK NW 33RD ST,Miami Police,9-7-2019 8:03 AM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909070067499,3500 BLOCK SW 22ND ST,Miami Police,9-7-2019 6:37 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067497,6200 BLOCK NW 3RD AV,Miami Police,9-7-2019 6:13 AM
"CAVE VANDALISM / ANY LOCK, GATE, DOOR OR OTHER OBSTRUCTION",1909070067495,0 BLOCK SE 7TH ST,Miami Police,9-7-2019 5:27 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067493,900 BLOCK NW 32ND CT,Miami Police,9-7-2019 5:22 AM
MOTOR VEHICLE THEFT,PD190907321077,2100 BLOCK NW 74TH ST,Miami-Dade Police,9-7-2019 5:00 AM
BATTERY / DOMESTIC,1909070067488,400 BLOCK NW 9TH AV,Miami Police,9-7-2019 3:58 AM
ARSON / ANY DWELLING OR ITS CONTENTS / OCCUPIED OR NOT,1909070067484,5800 BLOCK NW 7TH AV,Miami Police,9-7-2019 3:36 AM
VANDALISM,PD190907320679,4700 BLOCK NW 31ST AVE,Miami-Dade Police,9-7-2019 3:26 AM
CRIMINAL MISCHIEF / VANDALISM,1909070067482,0 BLOCK SW 7TH ST,Miami Police,9-7-2019 2:48 AM
ARSON,PD190907320648,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-7-2019 2:00 AM
"FELONY BATTERY (CAUSES) GREAT BODILY HARM, PERM DISABILITY OR DISFIGUREMENT",1909070067476,400 BLOCK NW 8TH ST,Miami Police,9-7-2019 1:57 AM
SIMPLE BATTERY,1909070067466,3200 BLOCK NW 18TH ST,Miami Police,9-7-2019 1:47 AM
VANDALISM,PD190907320608,2900 BLOCK NW 43RD TER,Miami-Dade Police,9-7-2019 1:01 AM
BURGLARY - RESIDENCE,1909070067464,700 BLOCK NW 2ND ST,Miami Police,9-7-2019 12:51 AM
CRIMINAL MISCHIEF / VANDALISM,1909070067469,100 BLOCK NE 38TH ST,Miami Police,9-7-2019 12:51 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067461,700 BLOCK SW 8TH AV,Miami Police,9-7-2019 12:49 AM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1909070067456,400 BLOCK SW 10TH ST,Miami Police,9-7-2019 12:25 AM
GRAND THEFT,1909070067468,400 BLOCK BRICKELL AV,Miami Police,9-7-2019 12:14 AM
BURGLARY,PD190907321671,2200 BLOCK NW 37TH AVE,Miami-Dade Police,9-7-2019 12:01 AM
ASSAULT,PD190906320524,1700 BLOCK NW 76TH ST,Miami-Dade Police,9-6-2019 11:34 PM
THEFT - OF MOTOR VEHICLE PARTS,1909060067440,3100 BLOCK NW 2ND ST,Miami Police,9-6-2019 11:21 PM
CRIMINAL MISCHIEF / VANDALISM,1909060067441,3200 BLOCK NW 7TH PL,Miami Police,9-6-2019 11:12 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067444,SW 1ST AV / SW 14TH ST,Miami Police,9-6-2019 10:41 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067434,4100 BLOCK NW 2ND AV,Miami Police,9-6-2019 10:40 PM
BATTERY / SIMPLE,1909060067429,5800 BLOCK NW 7TH AVE,Miami Police,9-6-2019 9:43 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1909070067452,6700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 9:39 PM
ROBBERY/SUDDEN SNATCHING-UNARMED (ALL OTHER ITEMS $300),1909060067432,NW 1ST AV / NW 37TH ST,Miami Police,9-6-2019 9:37 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067420,5000 BLOCK BISCAYNE BLVD,Miami Police,9-6-2019 8:52 PM
SIMPLE BATTERY,1909060067419,1200 BLOCK W FLAGLER ST,Miami Police,9-6-2019 8:48 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1909060067413,NW 17TH AV / NW 2ND ST,Miami Police,9-6-2019 8:31 PM
ASSAULT,PD190906320354,3000 BLOCK NW 45TH ST,Miami-Dade Police,9-6-2019 8:30 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067409,5900 BLOCK NE 4TH AV,Miami Police,9-6-2019 8:02 PM
"CRIMINAL MISCHIEF $1000, OR INTERRUPTION OF BUSINESS OR UTILITIES",1909060067383,100 BLOCK W FLAGLER ST,Miami Police,9-6-2019 8:00 PM
BATTERY / SIMPLE,1909060067408,1800 BLOCK NW 51ST ST,Miami Police,9-6-2019 7:54 PM
THEFT/LARCENY,PD190907320822,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,9-6-2019 7:50 PM
"UTTERING FORGED INST:UTTR AS TRUE, KNOWN FALSE WRITING/INTENT TO INJURE/DEFRAUD",1909060067393,1900 BLOCK N BAYSHORE DR,Miami Police,9-6-2019 6:49 PM
ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,1909060067390,600 BLOCK SW 27TH AV,Miami Police,9-6-2019 6:37 PM
FRAUD,PD190907321162,8000 BLOCK NW 27TH AVE,Miami-Dade Police,9-6-2019 6:32 PM
CRIMINAL MISCHIEF / VANDALISM,1909060067388,1100 BLOCK SW 5TH ST,Miami Police,9-6-2019 6:07 PM
RETAIL THEFT,1909060067385,5700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 6:00 PM
BURGLARY / DWELLING - CAUSES DAMAGE IN EXCESS OF $1000.00,1909060067400,0 BLOCK NE 79TH ST,Miami Police,9-6-2019 5:57 PM
FRAUD,PD190907320945,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-6-2019 5:45 PM
"THEFT OF CREDIT CARD LOST,MISLAID OR DELIVERED BY MISTAKE",1909060067370,1500 BLOCK N MIAMI AV,Miami Police,9-6-2019 5:35 PM
ASSAULT / AGG,1909060067379,1900 BLOCK NW 3RD ST,Miami Police,9-6-2019 5:34 PM
BANK FRAUD- KNOWINGLY (OR ATT.) TO EXECUTE A SCHEME TO DEFRAUD FINANCIAL INST.,1909060067363,1800 BLOCK W FLAGLER ST,Miami Police,9-6-2019 5:16 PM
SIMPLE ASSAULT,1909060067364,0 BLOCK SW 3RD ST,Miami Police,9-6-2019 5:06 PM
"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1909060067382,1300 BLOCK NW 59TH ST,Miami Police,9-6-2019 4:47 PM
BURGLARY - OTHER STRUCTURE,1909060067371,500 BLOCK NW 36TH ST,Miami Police,9-6-2019 4:30 PM
THEFT - OF MOTOR VEHICLE PARTS,1909060067355,300 BLOCK SW 12TH AV,Miami Police,9-6-2019 4:29 PM
RETAIL THEFT,1909060067374,600 BLOCK NW 62ND ST,Miami Police,9-6-2019 4:24 PM
SIMPLE BATTERY,1909060067351,1100 BLOCK NW 62ND ST,Miami Police,9-6-2019 4:13 PM
FRAUD,PD190909323981,PORT OF MIAMI,Miami-Dade Police,9-6-2019 4:00 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1909060067356,200 BLOCK SE 2ND ST,Miami Police,9-6-2019 3:36 PM
THEFT - ALL OTHER,1909060067329,1500 BLOCK N MIAMI AV,Miami Police,9-6-2019 3:23 PM
ASSAULT,PD190906319958,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-6-2019 3:20 PM
CRIMINAL MISCHIEF / VANDALISM,1909060067328,2100 BLOCK SW 8TH ST,Miami Police,9-6-2019 2:52 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1909060067323,1700 BLOCK BISCAYNE BLVD,Miami Police,9-6-2019 2:40 PM
"UTTERING FORGED INST:UTTR AS TRUE, KNOWN FALSE WRITING/INTENT TO INJURE/DEFRAUD",1909060067327,1200 BLOCK SW 8TH ST,Miami Police,9-6-2019 2:03 PM
BURGLARY - RESIDENCE,1909060067313,1000 BLOCK NW 2ND ST,Miami Police,9-6-2019 2:01 PM
VANDALISM,PD190912327254,7000 BLOCK NW 22ND AVE,Miami-Dade Police,9-6-2019 2:00 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067316,6400 BLOCK NE MIAMI CT,Miami Police,9-6-2019 1:48 PM
ASSAULT,PD190906319798,3100 BLOCK NW 79TH ST,Miami-Dade Police,9-6-2019 1:10 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909060067295,2300 BLOCK SW 7TH ST,Miami Police,9-6-2019 12:54 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067297,500 BLOCK NW 13TH AV,Miami Police,9-6-2019 12:46 PM
ASSAULT,PD190906319746,2100 BLOCK NW 49TH ST,Miami-Dade Police,9-6-2019 12:46 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067296,1600 BLOCK NE 2ND AV,Miami Police,9-6-2019 12:40 PM
THEFT - FROM MOTOR VEHICLE,1909060067290,0 BLOCK NW 37TH ST,Miami Police,9-6-2019 12:27 PM
THEFT/LARCENY,PD190910325181,3300 BLOCK NW 70TH AVE,Miami-Dade Police,9-6-2019 12:00 PM
OVERDUE RENTAL,1909060067285,5300 BLOCK NW 7TH AV,Miami Police,9-6-2019 11:58 AM
OVERDUE RENTAL,1909060067285,5300 BLOCK NW 7TH AV,Miami Police,9-6-2019 11:58 AM
RETAIL THEFT,1909060067283,7000 BLOCK NE 2ND AV,Miami Police,9-6-2019 11:31 AM
BURGLARY - OTHER STRUCTURE,1909060067286,1300 BLOCK NW 1ST ST,Miami Police,9-6-2019 11:30 AM
RETAIL THEFT,1909060067284,3400 BLOCK N MIAMI AV,Miami Police,9-6-2019 11:20 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067274,2900 BLOCK SW 8TH STREET,Miami Police,9-6-2019 11:13 AM
THEFT - PICK POCKET,1909060067270,400 BLOCK BISCAYNE BLV,Miami Police,9-6-2019 11:05 AM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909060067276,2700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 10:53 AM
GRAND THEFT OF THE THIRD DEGREE AND A FELONY OF THE THIRD DEGREE,1909060067276,2700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 10:53 AM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1909060067268,600 BLOCK NW 6TH ST,Miami Police,9-6-2019 10:42 AM
